Locus_tag	start	stop	strand	KEGG_definition	Knumber	gene_name	COG_category
DLM_1131	1168487	1169809	+	archaeal chaperonin	K22447	COG1639	T
DLM_1132	1169813	1170616	+	"RNA methyltransferase, TrmH family"	K03437	spoU	J
DLM_1133	1170610	1171302	+	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	K01448	amiC	M
DLM_1134	1171327	1171701	-		  	COG3755	S
DLM_1135	1171751	1172980	-	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	K00974	pcnB	J
DLM_1136	1172980	1173927	-		  	COG0702	MG
DLM_1137	1173954	1175843	-	soluble lytic murein transglycosylase [EC:4.2.2.-]	K08309	mltE	M
DLM_1138	1176478	1176909	+	auxin efflux carrier family protein	K13947/K18890	  	  
DLM_1139	1177808	1179271	-	anthranilate synthase component I [EC:4.1.3.27]	K01657	trpE	EH
DLM_1140	1179410	1180075	-	phosphoglycolate phosphatase [EC:3.1.3.18]	K01091	gph	R
DLM_1141	1180090	1180854	-	benzil reductase ((S)-benzoin forming) [EC:1.1.1.320]	K16216	fabG	IQR
DLM_1142	1180854	1181534	-	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	K01783	rpe	G
DLM_1143	1181641	1182021	+	ApaG protein	K06195	apaG	P
DLM_1144	1182018	1182146	-	insulin receptor-related receptor [EC:2.7.10.1]	K05086/K00703	  	  
DLM_1145	1182132	1183928	+	"ATP-binding cassette, subfamily B, bacterial"	K06147	aTM1	O
DLM_1146	1184261	1186705	+	diguanylate cyclase [EC:2.7.7.65]	K21023	rtn	T
DLM_1147	1186735	1187520	+		  	COG5424	H
DLM_1148	1187701	1189158	+	dipeptidase D [EC:3.4.13.-]	K01270	pepD	E
DLM_1149	1189224	1190099	-	integrase/recombinase XerC	K03733	xerC	L
DLM_1150	1190101	1190952	-		  	COG0714	R
DLM_1151	1191073	1191486	-		  	  	  
DLM_1152	1191504	1191929	-	acyl-CoA thioester hydrolase [EC:3.1.2.-]	K07107	fcbC	R
DLM_1153	1192050	1192499	+		  	uspA	T
DLM_1154	1192602	1192925	-		  	COG2944	K
DLM_1155	1193443	1194654	+	acetylornithine deacetylase [EC:3.5.1.16]	K01438	argE	E
DLM_1156	1194778	1196166	+	"neurotransmitter:Na+ symporter, NSS family"	K03308	COG0733	R
DLM_1157	1196553	1197191	-	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]	K01246	tag	L
DLM_1158	1197233	1197676	-	flagellar assembly factor FliW	K13626	COG1699	S
DLM_1159	1197812	1198630	+		  	COG2833	S
DLM_1160	1198686	1198901	+	H+-translocating diphosphatase [EC:7.1.3.1]	K23025	  	  
DLM_1161	1199066	1199485	+		  	  	  
DLM_1162	1199501	1200847	+	U32 family peptidase [EC:3.4.-.-]	K08303	COG0826	O
DLM_1163	1200923	1201042	+	ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]	K17675	  	  
DLM_1164	1201755	1202855	+	putrescine transport system substrate-binding protein	K11073	potD	E
DLM_1165	1203199	1204041	+	putrescine transport system permease protein	K11075	potB	E
DLM_1166	1204038	1204883	+	putrescine transport system permease protein	K11074	potC	E
DLM_1167	1205011	1206495	+		  	  	  
DLM_1168	1206546	1207646	+	N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D [EC:3.1.4.54]	K13985	COG2220	R
DLM_1169	1207837	1209540	+	arginyl-tRNA synthetase [EC:6.1.1.19]	K01887	argS	J
DLM_1170	1209617	1211413	-	Xaa-Pro aminopeptidase [EC:3.4.11.9]	K01262	pepP	E
DLM_1171	1211575	1212924	-		  	srmB	LKJ
DLM_1172	1213288	1214076	-	hydroxypyruvate isomerase [EC:5.3.1.22]	K01816	hfi	G
DLM_1173	1214070	1214939	-	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020	mmsB	I
DLM_1174	1215097	1216374	-	tyrosyl-tRNA synthetase [EC:6.1.1.1]	K01866	  	J
DLM_1175	1216642	1217295	+		  	COG3658	C
DLM_1176	1217275	1217400	-	"troponin I, fast skeletal muscle"	K12043	  	  
DLM_1177	1217372	1217809	-		  	COG3909	C
DLM_1178	1217903	1218343	-		  	COG3909	C
DLM_1179	1218489	1218923	+	"Fur family transcriptional regulator, zinc uptake regulator"	K09823	  	P
DLM_1180	1218911	1219837	+		  	COG0523	R
DLM_1181	1219846	1220058	+	cobalt-zinc-cadmium efflux system protein	K16264/K01534	  	  
DLM_1182	1220055	1220798	+	zinc/manganese transport system ATP-binding protein	K02074	znuC	P
DLM_1183	1220798	1221673	+	zinc/manganese transport system permease protein	K02075	znuB	P
DLM_1184	1221683	1222570	+	zinc/manganese transport system substrate-binding protein	K02077	lraI	P
DLM_1185	1222620	1223291	-	uncharacterized protein	K09792	COG2836	S
DLM_1186	1223593	1224372	+		  	caiD	I
DLM_1187	1224451	1225737	-	seryl-tRNA synthetase [EC:6.1.1.11]	K01875	  	J
DLM_1188	1226873	1228183	-	putative ATPase	K07478	mGS1	L
DLM_1189	1228268	1229185	+	arylformamidase [EC:3.5.1.9]	K01432	aes	I
DLM_1190	1229228	1229836	-	outer membrane lipoprotein carrier protein	K03634/K01950	lolA	M
DLM_1191	1230019	1231032	-	mucin-16	K16145	  	  
DLM_1192	1231125	1232735	-	NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	K01950	nadE	R
DLM_1193	1232794	1233924	+	uncharacterized protein	K09919	COG3146	S
DLM_1195	1234233	1235978	+		  	  	  
DLM_1196	1236044	1237324	-	serine/threonine-protein kinase HipA [EC:2.7.11.1]	K07154	hipA	R
DLM_1197	1238315	1240552	-	ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]	K03724	lhr	R
DLM_1198	1240562	1241866	-		  	  	  
DLM_1199	1241863	1244373	-		  	  	  
DLM_1200	1245358	1245495	+	"XRE family transcriptional regulator, regulator of sulfur utilization"	K23779	  	  
DLM_1201	1245877	1246101	-	phosphoglucomutase [EC:5.4.2.2]	K01835/K00161	  	  
DLM_1202	1247876	1248763	-		  	lysR	K
DLM_1203	1249423	1249866	+	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607	COG1917	S
DLM_1204	1249941	1250921	-	pyridoxine 4-dehydrogenase [EC:1.1.1.65]	K05275	tas	C
DLM_1205	1250943	1251785	-		  	fabG	IQR
DLM_1206	1251918	1252889	+		  	lysR	K
DLM_1207	1253911	1255350	-	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	K00135	putA	C
DLM_1208	1255550	1256500	-		  	lysR	K
DLM_1209	1256633	1257781	+	NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]	K08325/K19955	COG1979	C
DLM_1210	1257806	1258639	+		  	fabG	IQR
DLM_1211	1258793	1259365	+		  	wcaG	MG
DLM_1212	1259362	1260798	+		  	proP	GEPR
DLM_1213	1260844	1261695	+	"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]"	K06221	aRA1	R
DLM_1214	1261895	1263079	-	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	K00626	paaJ	I
DLM_1215	1263339	1264793	-	NTE family protein	K07001	araJ	G
DLM_1216	1264877	1265683	-		  	dltE	R
DLM_1217	1265706	1266464	-	uncharacterized oxidoreductase [EC:1.-.-.-]	K14189	dltE	M
DLM_1218	1266521	1267429	-		  	mhpC	R
DLM_1219	1267766	1268050	+		  	COG1733	K
DLM_1220	1268242	1271310	-		  	  	V
DLM_1221	1271307	1272422	-		  	acrA	M
DLM_1222	1272507	1273124	-		  	acrR	K
DLM_1223	1273217	1274662	+		  	tolC	MU
DLM_1224	1274743	1275696	+		  	lysR	K
DLM_1225	1275868	1276887	-		  	lysR	K
DLM_1226	1276886	1277317	+	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]	K04063	osmC	O
DLM_1227	1277357	1278775	+	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	K00154/K00128	putA	C
DLM_1228	1278836	1279501	+		  	thiJ	R
DLM_1229	1279797	1279991	+	NADPH:quinone reductase [EC:1.6.5.5]	K00344/K01207	  	  
DLM_1230	1280099	1281334	-	purine-binding chemotaxis protein CheW	K03408/K17341	cheW	NT
DLM_1231	1281560	1284415	-	methyl-accepting chemotaxis protein	K03406	tar	T
DLM_1232	1285094	1287016	+	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_1233	1287040	1288608	+	purine-binding chemotaxis protein CheW	K03408	cheW	NT
DLM_1234	1288628	1289752	+	"two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	K03412	cheB	NT
DLM_1235	1289718	1290332	+		  	COG1413	C
DLM_1236	1290337	1291179	+	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575	cheR	NT
DLM_1237	1291191	1291562	+	"two-component system, chemotaxis family, chemotaxis protein CheY"	K03413	cheY	T
DLM_1238	1291562	1293916	+	"two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	K03407	cheA	NT
DLM_1239	1293907	1294158	+	dedicator of cytokinesis protein 3	K05727/K01926	  	  
DLM_1240	1294155	1294520	+	"two-component system, chemotaxis family, chemotaxis protein CheY"	K03413	cheY	T
DLM_1241	1294595	1295722	+	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_1242	1295747	1295908	-	DNA polymerase I [EC:2.7.7.7]	K02335	  	  
DLM_1243	1296071	1297948	+	"two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]"	K11527	baeS	T
DLM_1244	1298933	1300366	-		  	  	  
DLM_1245	1301307	1301543	+	U3 small nucleolar RNA-associated protein 12	K14556/K10441	  	  
DLM_1246	1301779	1302354	-		  	  	  
DLM_1247	1302364	1303344	-		  	COG5301	R
DLM_1248	1303345	1303914	-		  	COG3778	S
DLM_1249	1303911	1304975	-		  	xkdT	S
DLM_1250	1304975	1305328	-		  	COG4381	S
DLM_1251	1305979	1306116	+	"basic amino acid/polyamine antiporter, APA family"	K03294	  	  
DLM_1252	1306255	1307067	-	putative transposase	K07497	  	L
DLM_1253	1307127	1307405	-	transposase	K07483	  	L
DLM_1254	1307466	1307798	-		  	  	S
DLM_1255	1307795	1308946	-		  	COG4379	R
DLM_1256	1308930	1310219	-		  	COG4228	R
DLM_1257	1310219	1312333	-		  	  	  
DLM_1258	1312446	1312829	-	BAI1-associated protein 3	K15621	  	  
DLM_1259	1312826	1313197	-		  	  	  
DLM_1260	1313271	1314698	-		  	COG4386	R
DLM_1261	1314698	1314952	-	"RNA polymerase sigma-70 factor, ECF subfamily"	K03088/K12999	  	  
DLM_1262	1314949	1315614	-		  	COG5003	R
DLM_1263	1315614	1316069	-		  	COG4387	S
DLM_1264	1316069	1316401	-	A-kinase anchor protein 12	K16528/K05807	  	  
DLM_1265	1316379	1317284	-		  	COG4397	R
DLM_1266	1317295	1317696	-		  	  	  
DLM_1267	1317700	1318758	-		  	COG4388	R
DLM_1268	1319832	1320395	-		  	COG5005	R
DLM_1269	1320663	1321937	-		  	COG2369	S
DLM_1270	1321924	1323507	-		  	COG4383	S
DLM_1271	1323516	1325132	-		  	  	  
DLM_1272	1325154	1325618	+	glutamyl-tRNA synthetase [EC:6.1.1.17]	K01885	  	  
DLM_1273	1325615	1326115	-		  	  	  
DLM_1274	1326115	1326336	-	chromosome segregation protein	K03529/K01916	  	  
DLM_1275	1326323	1326916	-	DNA recombination protein RmuC	K09760	  	  
DLM_1276	1326913	1327146	-	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	K02703	  	  
DLM_1277	1327146	1327568	-	peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	K17733	  	  
DLM_1278	1329619	1330359	-	3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]	K01969/K01653	  	  
DLM_1279	1330397	1330831	-		  	  	  
DLM_1280	1330828	1331247	-		  	COG4382	S
DLM_1281	1331879	1332151	-	DNA-binding protein HU-beta	K03530	  	L
DLM_1282	1332162	1332464	-	protein phosphatase 1E [EC:3.1.3.16]	K17501	  	  
DLM_1283	1332466	1333074	-		  	  	  
DLM_1284	1333071	1333451	-		  	hipB	K
DLM_1285	1333469	1333786	-	acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]	K24012	  	  
DLM_1286	1333764	1334117	-		  	  	  
DLM_1287	1334104	1334745	-		  	  	  
DLM_1288	1334756	1335496	-		  	COG2842	R
DLM_1289	1335505	1337571	-	putative transposase	K07497	  	  
DLM_1290	1337568	1338050	-	leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]	K00684	  	  
DLM_1291	1338116	1338421	-	Ner family transcriptional regulator	K07724	nlp	K
DLM_1292	1338774	1339040	+	"5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"	K00320/K02411	  	  
DLM_1293	1339220	1339426	+	Ras GTPase-activating protein 1	K04352/K01626	  	  
DLM_1294	1340070	1340882	-	putative transposase	K07497	  	L
DLM_1295	1340942	1341220	-	transposase	K07483	  	L
DLM_1296	1342213	1343451	-	type VI secretion system secreted protein VgrG	K11904	COG4253	S
DLM_1297	1343534	1344142	-	DNA adenine methylase [EC:2.1.1.72]	K06223	dam	L
DLM_1298	1344160	1345020	-	putative transposase	K07497	  	L
DLM_1299	1345017	1345280	-	putative transposase	K07497	  	  
DLM_1300	1345394	1347250	+		  	cls	I
DLM_1301	1347254	1348540	+	uncharacterized protein	K07126	COG0790	R
DLM_1302	1348703	1351348	+	type VI secretion system secreted protein VgrG	K11904	vgrG	S
DLM_1303	1351369	1352232	+		  	  	  
DLM_1304	1352893	1353225	+		  	  	  
DLM_1305	1353440	1353772	+		  	  	  
DLM_1306	1354164	1354319	+	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]	K18118	  	  
DLM_1307	1354316	1355938	+		  	  	  
DLM_1308	1356276	1357469	+		  	  	  
DLM_1309	1358425	1359345	-	"LysR family transcriptional regulator, nod-box dependent transcriptional activator"	K14657	lysR	K
DLM_1310	1359629	1360555	+		  	COG4313	C
DLM_1311	1360609	1361769	+		  	COG0412	Q
DLM_1312	1361823	1362749	+		  	  	  
DLM_1313	1362772	1363110	+		  	nirD	PR
DLM_1314	1363154	1364284	+		  	ubiH	HC
DLM_1315	1364345	1365499	+		  	araJ	G
DLM_1316	1365496	1366311	+		  	COG1878	R
DLM_1317	1366369	1366956	+		  	ManC	G
DLM_1318	1366953	1367936	+	fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]	K16171	mhpD	Q
DLM_1319	1367933	1368928	+	D-erythronate 2-dehydrogenase [EC:1.1.1.410]	K22025	wcaG	MG
DLM_1320	1369161	1370333	-	p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]	K00481	ubiH	HC
DLM_1321	1370887	1371426	+	"AraC family transcriptional regulator, transcriptional activator of pobA"	K18954/K02508	araC	K
DLM_1322	1371675	1373300	-	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_1323	1373971	1374738	-	polar amino acid transport system substrate-binding protein	K02030/K14075	hisJ	ET
DLM_1324	1374878	1379239	-	fibronectin-binding autotransporter adhesin	K19231	  	U
DLM_1325	1379630	1381630	+	"two-component system, sensor histidine kinase LadS"	K20971	baeS	T
DLM_1326	1381662	1382324	-	"two-component system, OmpR family, response regulator"	K02483/K07660	ompR	TK
DLM_1327	1382525	1382833	-	uncharacterized protein	K09137	COG1993	S
DLM_1328	1382857	1383585	-		  	fabG	IQR
DLM_1329	1383582	1384043	-	glc operon protein GlcG	K11477	glcG	R
DLM_1330	1384067	1385107	-	"membrane fusion protein, multidrug efflux system"	K03543	emrA	V
DLM_1331	1385112	1386647	-	"MFS transporter, DHA2 family, multidrug resistance protein"	K03446	  	  
DLM_1332	1386640	1387989	-		  	tolC	MU
DLM_1333	1388293	1388928	+	"TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor"	K18301/K18130	acrR	K
DLM_1334	1388981	1389118	+	tensin	K18080/K02014	  	  
DLM_1335	1389235	1390239	-	LacI family transcriptional regulator	K02529	COG4977	K
DLM_1336	1390345	1391175	+		  	mhpC	R
DLM_1337	1391201	1391806	+	FMN-dependent NADH-azoreductase [EC:1.7.1.17]	K01118	acpD	I
DLM_1338	1391833	1392144	+	uncharacterized protein	K09780	COG2350	S
DLM_1339	1392705	1392827	-	carbonic anhydrase [EC:4.2.1.1]	K01672	  	  
DLM_1340	1392859	1393908	+		  	COG2199	T
DLM_1341	1393988	1394335	-		  	COG2329	R
DLM_1342	1394346	1395446	-	cytochrome P450 family 144	K21200	cypX	Q
DLM_1343	1395520	1396203	+		  	arsR	K
DLM_1344	1396471	1396794	-		  	arsR	K
DLM_1345	1396954	1398003	+	2-oxo-3-(phosphooxy)propyl 3-oxoalkanoate synthase [EC:2.3.1.277]	K22463	  	  
DLM_1346	1398020	1398685	+	putative hydrolase of the HAD superfamily	K07025	COG1011	R
DLM_1347	1398682	1399899	+	nocardicin N-oxygenase [EC:1.14.13.-]	K19106/K15468	cypX	Q
DLM_1348	1399919	1401448	+		  	araJ	G
DLM_1349	1401608	1401820	+	putative transcriptional regulator	K07729/K18988	hipB	K
DLM_1350	1401965	1403032	+	YidC/Oxa1 family membrane protein insertase	K03217	  	  
DLM_1351	1403466	1404380	-		  	lysR	K
DLM_1352	1404400	1404519	-	DNA repair protein RecN (Recombination protein N)	K03631	  	  
DLM_1353	1404496	1404927	+	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]	K04063	osmC	O
DLM_1354	1404967	1406385	+	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	K00154/K00128	putA	C
DLM_1355	1406434	1407111	+		  	thiJ	R
DLM_1356	1407996	1409087	-	iron complex transport system permease protein	K02015	fepD	P
DLM_1357	1409227	1410366	-	iron complex transport system substrate-binding protein	K02016	fepB	P
DLM_1358	1411351	1412967	-	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_1359	1414249	1414746	-	ureidoglycolate lyase [EC:4.3.2.3]	K01483	dAL3	F
DLM_1360	1414743	1415771	-	allantoicase [EC:3.5.3.4]	K01477	alc	F
DLM_1361	1415800	1416531	-	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	K02028	glnQ	E
DLM_1362	1416518	1417168	-	polar amino acid transport system permease protein	K02029	hisM	E
DLM_1363	1417165	1417833	-	polar amino acid transport system permease protein	K02029	hisM	E
DLM_1364	1417912	1418706	-	polar amino acid transport system substrate-binding protein	K02030	hisJ	ET
DLM_1365	1418746	1419420	-	"GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex"	K05799	fadR	K
DLM_1366	1419465	1419611	+	fructuronate reductase [EC:1.1.1.57]	K00040	  	  
DLM_1367	1419776	1421044	+	urea transport system substrate-binding protein	K11959	livK	E
DLM_1368	1421186	1422784	+	urea transport system permease protein	K11960	livH	E
DLM_1369	1422796	1423896	+	urea transport system permease protein	K11961	livM	E
DLM_1370	1423893	1424729	+	urea transport system ATP-binding protein	K11962	COG4674	R
DLM_1371	1424731	1425429	+	urea transport system ATP-binding protein	K11963	livF	E
DLM_1372	1425491	1426351	+	urease accessory protein	K03190	ureH	O
DLM_1373	1426367	1426669	+	urease subunit gamma [EC:3.5.1.5]	K01430	ureA	E
DLM_1374	1426697	1427002	+	urease subunit beta [EC:3.5.1.5]	K01429	ureB	E
DLM_1375	1426999	1428699	+	urease subunit alpha [EC:3.5.1.5]	K01428	ureC	E
DLM_1376	1428768	1429265	+	urease accessory protein	K03187	ureE	O
DLM_1377	1429262	1429945	+	urease accessory protein	K03188	ureF	O
DLM_1378	1430029	1430538	+	putative acetyltransferase [EC:2.3.1.-]	K03829	rimI	R
DLM_1379	1430535	1431146	+	urease accessory protein	K03189	hypB	OK
DLM_1380	1431200	1432117	-		  	malT	K
DLM_1381	1432117	1435506	-	"two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]"	K11527	codB	F
DLM_1382	1435682	1435945	+	glutamate/aspartate transport system ATP-binding protein [EC:7.4.2.1]	K10004	glnQ	E
DLM_1383	1436072	1437319	-	long-chain fatty acid transport protein	K06076	fadL	I
DLM_1384	1437689	1439155	-	FAD-dependent urate hydroxylase [EC:1.14.13.113]	K22879	trkA	P
DLM_1385	1439508	1440626	+	branched-chain amino acid transport system substrate-binding protein	K01999	livK	E
DLM_1386	1440659	1441588	+	branched-chain amino acid transport system permease protein	K01997	livH	E
DLM_1387	1441581	1442528	+	branched-chain amino acid transport system permease protein	K01998	livM	E
DLM_1388	1442525	1443286	+	branched-chain amino acid transport system ATP-binding protein	K01995/K01998	livG	E
DLM_1389	1443286	1443990	+	branched-chain amino acid transport system ATP-binding protein	K01996	livF	E
DLM_1390	1444227	1445801	-	peptide/nickel transport system substrate-binding protein	K02035	ddpA	E
DLM_1391	1446078	1447652	+	peptide/nickel transport system substrate-binding protein	K02035	ddpA	E
DLM_1392	1447652	1448719	+	peptide/nickel transport system permease protein	K02033	dppB	EP
DLM_1393	1448732	1449544	+	peptide/nickel transport system permease protein	K02034	dppC	EP
DLM_1394	1449504	1450385	+	peptide/nickel transport system ATP-binding protein	K02031	dppD	EP
DLM_1395	1450382	1451083	+	peptide/nickel transport system ATP-binding protein	K02032	dppF	EP
DLM_1396	1451660	1452115	-	single-strand DNA-binding protein	K03111	  	L
DLM_1397	1452206	1453570	-		  	araJ	G
DLM_1398	1453571	1453735	+	pyruvate formate lyase activating enzyme [EC:1.97.1.4]	K04069/K03973	  	  
DLM_1399	1453751	1456579	+	excinuclease ABC subunit A	K03701	uvrA	L
DLM_1400	1456709	1457152	+		  	gloA	E
DLM_1401	1457164	1457337	-	protein Xni	K01146/K00433	  	  
DLM_1402	1457464	1457664	+	anaerobic nitric oxide reductase flavorubredoxin	K12264/K23390	  	  
DLM_1403	1457877	1459523	-		  	glcD	C
DLM_1404	1460042	1461001	+	polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase [EC:2.7.8.-]	K01005/K06233	  	  
DLM_1405	1461207	1462319	-		  	acuC	BQ
DLM_1406	1462335	1463516	-	"MFS transporter, DHA1 family, inner membrane transport protein"	K19577	araJ	G
DLM_1407	1463574	1464224	-		  	  	  
DLM_1408	1464251	1465147	-	"LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes"	K21757	lysR	K
DLM_1409	1465249	1466517	+	"MFS transporter, YNFM family, putative membrane transport protein"	K08224	araJ	G
DLM_1410	1466586	1467653	-		  	fimA	NU
DLM_1411	1467729	1467854	-	pre-mRNA-splicing factor 38B	K12850	  	  
DLM_1412	1467848	1469248	-	L-serine dehydratase [EC:4.3.1.17]	K01752	sdaA	E
DLM_1413	1469690	1469806	-	myosin III [EC:2.7.11.1]	K08834	  	  
DLM_1414	1469872	1470513	-	uncharacterized protein	K07118	COG2910	R
DLM_1415	1470617	1471522	+	"LysR family transcriptional regulator, transcriptional activator for aaeXAB operon"	K21698	lysR	K
DLM_1416	1471519	1472472	+	homocysteine S-methyltransferase [EC:2.1.1.10]	K00547	mHT1	E
DLM_1417	1472536	1473642	-	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_1418	1474019	1475011	+	taurine transport system substrate-binding protein	K15551	tauA	P
DLM_1419	1475014	1475805	+	taurine transport system ATP-binding protein [EC:7.6.2.7]	K10831	tauB	P
DLM_1420	1475802	1476683	+	taurine transport system permease protein	K15552	tauC	P
DLM_1421	1476743	1477576	+	taurine dioxygenase [EC:1.14.11.17]	K03119	tauD	Q
DLM_1422	1477844	1479328	-	ATP-dependent RNA helicase DbpA [EC:3.6.4.13]	K05591	srmB	LKJ
DLM_1423	1479413	1481041	-	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_1424	1481337	1482587	+		  	COG2081	R
DLM_1425	1482744	1482956	+	RNA polymerase sigma-54 factor	K03092/K06933	  	  
DLM_1426	1483006	1483902	-	"LysR family transcriptional regulator, glycine cleavage system transcriptional activator"	K03566	lysR	K
DLM_1427	1483999	1485384	+	D-ornithine/D-lysine decarboxylase [EC:4.1.1.116]	K23385	lysA	E
DLM_1428	1485496	1486281	+	histidine transport system substrate-binding protein	K10014/K02030/K10022	hisJ	ET
DLM_1429	1486414	1487067	-		  	  	  
DLM_1430	1487249	1487797	-	"chromate reductase, NAD(P)H dehydrogenase (quinone)"	K19784	COG0431	R
DLM_1431	1487951	1488832	+	phosphatidylserine decarboxylase [EC:4.1.1.65]	K01613	  	I
DLM_1432	1489046	1490512	+	diguanylate cyclase [EC:2.7.7.65]	K18968	COG2199	T
DLM_1433	1490580	1491776	-	2-methylaconitate isomerase [EC:5.3.3.-]	K09788	COG2828	S
DLM_1434	1491946	1494546	-	2-methylcitrate dehydratase (2-methyl-trans-aconitate forming) [EC:4.2.1.117]	K20455	acnA	C
DLM_1435	1494616	1495764	-	2-methylcitrate synthase [EC:2.3.3.5]	K01659	gltA	C
DLM_1436	1495928	1496809	-	methylisocitrate lyase [EC:4.1.3.30]	K03417	prpB	G
DLM_1437	1497052	1497651	+	"RNA polymerase sigma-70 factor, ECF subfamily"	K03088	rpoE	K
DLM_1438	1497654	1498127	+	sigma-E factor negative regulatory protein RseA	K03597	rseA	T
DLM_1439	1498127	1499083	+	sigma-E factor negative regulatory protein RseB	K03598	rseB	T
DLM_1440	1499178	1500593	+	serine protease Do [EC:3.4.21.107]	K04771	degQ	R
DLM_1441	1500590	1500829	+		  	  	  
DLM_1442	1500895	1502688	+	GTP-binding protein LepA	K03596	  	M
DLM_1443	1502689	1503651	+	signal peptidase I [EC:3.4.21.89]	K03100	  	U
DLM_1444	1503673	1504029	+	glia-derived nexin	K16643	  	  
DLM_1445	1504035	1504745	+	ribonuclease III [EC:3.1.26.3]	K03685	  	K
DLM_1446	1504742	1505632	+	GTPase	K03595	era	R
DLM_1447	1505632	1505937	+		  	  	  
DLM_1448	1505934	1506665	+	DNA repair protein RecO (recombination protein O)	K03584	recO	L
DLM_1449	1506688	1507416	+	pyridoxine 5-phosphate synthase [EC:2.6.99.2]	K03474	pdxJ	H
DLM_1450	1507437	1507817	+	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	K00997	acpS	I
DLM_1451	1507891	1508973	+	beta-N-acetylhexosaminidase [EC:3.2.1.52]	K01207	bglX	G
DLM_1452	1509034	1510194	-		  	COG2206	T
DLM_1453	1510335	1511468	-		  	COG2206	T
DLM_1454	1511556	1515497	-	ATP-dependent helicase HrpA [EC:3.6.4.13]	K03578	hrpA	L
DLM_1455	1515468	1515614	+	homeobox protein engrailed	K09319	  	  
DLM_1456	1515611	1517086	-	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_1457	1517533	1517811	-	bromodomain adjacent to zinc finger domain protein 1B	K11658/K01420	  	  
DLM_1458	1518304	1520382	-	phosphate acetyltransferase [EC:2.3.1.8]	K13788	pta	R
DLM_1459	1520408	1521601	-	acetate kinase [EC:2.7.2.1]	K00925	ackA	C
DLM_1460	1521745	1521915	+	urocanate hydratase [EC:4.2.1.49]	K01712/K00821	  	  
DLM_1461	1522261	1523370	+	choline monooxygenase [EC:1.14.15.7]	K00499	hcaE	PR
DLM_1462	1523384	1523965	+	centrosomal protein CEP250	K16464	  	  
DLM_1463	1523999	1524868	+	S-adenosylmethionine uptake transporter	K15270	rhaT	GER
DLM_1464	1525014	1525370	+		  	  	  
DLM_1465	1525430	1527748	+	protein Tex	K06959	tex	K
DLM_1466	1527767	1527931	+	iron complex outermembrane recepter protein	K02014/K07071	  	  
DLM_1472	1533672	1534769	-	muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]	K01297	ldcA	V
DLM_1473	1534795	1536186	-	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	K12132	fhlA	T
