"nc"	"X3hControl"	"X3hMedium"	"X3hPlant"	"X7dControl"	"X7dMedium"	"X7dPlant"	"Library"	"Locus_tag"	"start"	"stop"	"strand"	"KEGG_definition"	"Knumber"	"gene_name"	"COG_category"
240751	0	6	0	2	0	0	3	DLM_0247	239680	241176	-	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	K02482	baeS	T
240802	1480	1372	79	460	357	15	2186	DLM_0247	239680	241176	-	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	K02482	baeS	T
241034	1228	1162	35	468	348	4	1960	DLM_0247	239680	241176	-	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	K02482	baeS	T
241203	1070	1025	115	412	354	5	1773								
241234	1143	1213	62	530	441	16	1970								
241366	1884	1831	170	1029	1243	146	2883								
241441	2694	2543	170	1502	1693	115	4051	DLM_0248	241411	242367	-	NA	NA	rhaT	GER
241964	1094	1099	82	441	483	17	1089	DLM_0248	241411	242367	-	NA	NA	rhaT	GER
242054	940	961	65	448	486	23	1464	DLM_0248	241411	242367	-	NA	NA	rhaT	GER
242117	812	861	45	498	520	11	1381	DLM_0248	241411	242367	-	NA	NA	rhaT	GER
242191	361	313	2	241	237	23	653	DLM_0248	241411	242367	-	NA	NA	rhaT	GER
242339	2	4	0	1	1	0	2	DLM_0248	241411	242367	-	NA	NA	rhaT	GER
242439	831	724	78	466	545	33	1102								
242545	241	261	16	145	171	6	417	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
242763	509	532	19	335	416	41	829	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
242807	252	268	9	147	167	11	390	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
242983	1166	1114	144	728	805	24	1744	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243005	407	403	39	305	318	25	600	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243089	1685	1674	83	1049	1192	83	2725	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243275	907	970	32	364	425	24	1171	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243295	490	542	33	420	432	25	809	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243340	788	793	29	365	400	27	1146	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243466	1569	1505	77	1009	1060	61	2254	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243507	515	519	12	320	350	23	766	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243708	96	93	4	69	77	4	184	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243795	52	71	8	54	62	0	116	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243920	655	618	74	430	496	29	985	DLM_0249	242519	243982	-	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	K23997/K17758	COG0062	S
243987	64	64	0	45	64	0	99	DLM_0250	243986	244606	-	flavin prenyltransferase [EC:2.5.1.129]	K03186	ubiX	H
244307	553	485	51	461	552	13	923	DLM_0250	243986	244606	-	flavin prenyltransferase [EC:2.5.1.129]	K03186	ubiX	H
244494	222	221	4	171	223	6	360	DLM_0250	243986	244606	-	flavin prenyltransferase [EC:2.5.1.129]	K03186	ubiX	H
244525	596	622	68	513	669	58	1134	DLM_0250	243986	244606	-	flavin prenyltransferase [EC:2.5.1.129]	K03186	ubiX	H
244610	1782	1562	140	1411	1649	76	2982								
244710	165	145	17	187	203	124	270	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
244737	274	269	18	211	316	242	507	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
244971	557	585	61	578	770	545	1050	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
244980	445	509	2	293	464	290	764	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
245111	337	304	30	341	450	398	600	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
245166	4	3	0	0	1	4	0	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
245274	1062	1002	76	995	1287	1014	1872	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
245377	404	459	16	354	498	427	791	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
245386	799	791	65	739	1025	689	1450	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
245437	189	127	11	182	236	172	297	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
245498	253	283	0	195	327	291	454	DLM_0251	244674	245504	-	RNase adapter protein RapZ	K06958	COG1660	R
245498	253	283	0	195	327	291	454	DLM_0252	245497	246453	-	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	K06023	hprK	T
245665	5	5	0	0	0	0	15	DLM_0252	245497	246453	-	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	K06023	hprK	T
245757	2	2	0	0	0	0	6	DLM_0252	245497	246453	-	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	K06023	hprK	T
245836	12	3	0	3	0	0	7	DLM_0252	245497	246453	-	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	K06023	hprK	T
246076	130	118	0	31	19	0	165	DLM_0252	245497	246453	-	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	K06023	hprK	T
246260	15	2	0	0	1	0	8	DLM_0252	245497	246453	-	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	K06023	hprK	T
246289	11	10	0	2	4	0	9	DLM_0252	245497	246453	-	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	K06023	hprK	T
246447	12	9	0	3	4	0	11	DLM_0252	245497	246453	-	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	K06023	hprK	T
246447	12	9	0	3	4	0	11	DLM_0253	246446	246910	-	nitrogen PTS system EIIA component [EC:2.7.1.-]	K02806	ptsN	GT
246454	17	13	0	6	4	0	28	DLM_0253	246446	246910	-	nitrogen PTS system EIIA component [EC:2.7.1.-]	K02806	ptsN	GT
246483	31	30	1	6	4	0	36	DLM_0253	246446	246910	-	nitrogen PTS system EIIA component [EC:2.7.1.-]	K02806	ptsN	GT
246512	38	37	0	5	4	1	45	DLM_0253	246446	246910	-	nitrogen PTS system EIIA component [EC:2.7.1.-]	K02806	ptsN	GT
246563	27	19	0	12	3	0	32	DLM_0253	246446	246910	-	nitrogen PTS system EIIA component [EC:2.7.1.-]	K02806	ptsN	GT
246596	104	96	9	24	24	0	157	DLM_0253	246446	246910	-	nitrogen PTS system EIIA component [EC:2.7.1.-]	K02806	ptsN	GT
246674	11	14	0	0	1	2	13	DLM_0253	246446	246910	-	nitrogen PTS system EIIA component [EC:2.7.1.-]	K02806	ptsN	GT
246910	76	78	0	14	18	5	115	DLM_0253	246446	246910	-	nitrogen PTS system EIIA component [EC:2.7.1.-]	K02806	ptsN	GT
246918	36	30	0	10	4	0	42								
246949	101	109	4	38	17	2	143								
247033	249	238	15	169	164	3	457	DLM_0254	247032	247355	-	putative sigma-54 modulation protein	K05808	COG1544	J
247144	509	495	12	165	134	4	733	DLM_0254	247032	247355	-	putative sigma-54 modulation protein	K05808	COG1544	J
247167	100	101	2	38	28	0	222	DLM_0254	247032	247355	-	putative sigma-54 modulation protein	K05808	COG1544	J
247415	818	770	28	181	97	0	1151								
247466	362	345	0	136	80	1	729	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
247477	1061	1084	0	348	243	1	2059	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
247693	335	335	0	164	134	0	484	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
247820	233	247	0	116	64	0	419	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
247945	1127	1254	1	577	420	1	2085	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
247947	417	483	1	185	156	0	788	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
248041	1225	1315	6	585	419	3	1931	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
248046	927	1025	6	471	316	2	1659	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
248427	152	159	0	65	27	0	210	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
248462	371	348	0	175	138	0	498	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
248835	438	452	0	208	146	1	715	DLM_0255	247428	248849	-	RNA polymerase sigma-54 factor	K03092	rpoN	K
249106	3	3	0	0	3	0	1	DLM_0256	248853	249584	-	lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]	K06861	yhbG	R
249693	2	3	0	1	2	0	3	DLM_0257	249581	250135	-	lipopolysaccharide export system protein LptA	K09774	COG1934	S
250280	11	6	0	10	6	0	8	DLM_0258	250125	250685	-	lipopolysaccharide export system protein LptC	K11719	COG3117	S
251409	7	10	0	4	3	0	23	DLM_0260	251225	252205	-	arabinose-5-phosphate isomerase [EC:5.3.1.13]	K06041	COG0517	R
252217	1619	1540	134	1032	1198	62	2507								
252229	1071	1168	23	708	824	26	1664								
252324	640	691	52	630	659	31	1074								
252351	10	9	2	6	1	0	11								
252474	559	511	26	792	736	50	907	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
252650	342	299	20	256	248	13	457	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
253094	323	328	26	453	446	28	591	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
253540	1142	949	73	1228	1255	85	1671	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
253926	373	421	18	552	618	106	665	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
253944	72	60	0	54	44	0	79	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
254092	927	950	30	1150	1007	59	1617	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
254197	448	475	7	491	547	51	755	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
254225	1340	1225	173	2010	1909	81	2115	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
254333	264	222	14	242	260	8	477	DLM_0261	252421	254388	+	monovalent cation:H+ antiporter-2, CPA2 family	K03455	COG3273	S
254433	5	4	0	3	7	0	7								
254618	438	407	41	355	361	3	700								
254788	1049	1042	45	644	645	36	1713	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
254884	1030	931	16	303	347	43	1403	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
254928	352	382	2	264	255	16	652	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
255343	756	687	94	574	634	31	1263	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
255576	1410	1417	102	922	1051	41	2104	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
255582	143	132	1	103	140	6	208	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
255949	868	783	24	502	489	25	1165	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
256111	328	335	24	196	259	23	485	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
256256	587	594	42	423	462	14	890	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
256357	789	802	51	521	560	21	1284	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
256546	691	721	41	410	444	16	1145	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
256789	1128	1118	41	692	725	31	1777	DLM_0262	254682	256793	-	AsmA protein	K07289	asmA	M
256809	1588	1428	114	943	1059	76	2427								
256852	6	4	6	6	6	0	13								
256889	0	0	0	0	2	8	0								
256934	356	401	60	280	240	9	642								
256957	354	357	19	309	321	23	592								
256971	74	81	12	89	58	1	165								
256981	285	303	6	189	223	3	556								
256985	378	433	37	231	226	8	669								
257079	1109	1021	101	773	774	35	1981								
257116	1	3	0	1	1	3	2								
257117	1050	927	46	709	720	31	1701	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
257284	822	784	22	449	517	28	1302	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
257435	577	608	29	428	437	9	1043	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
257459	345	323	7	298	275	6	683	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
257521	653	598	44	374	392	24	1071	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
257584	634	674	87	532	677	16	1237	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
257723	284	237	23	140	163	19	415	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
258052	882	966	67	565	625	80	1499	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
258205	306	261	22	216	241	1	520	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
258286	469	463	54	276	320	29	838	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
258419	0	0	0	13	12	27	0	DLM_0263	257116	258768	-	sulfate permease, SulP family	K03321	sUL1	P
259069	262	252	4	217	208	7	428	DLM_0264	259068	260174	-	agmatine deiminase [EC:3.5.3.12]	K10536	COG2957	E
259264	562	527	28	241	322	5	830	DLM_0264	259068	260174	-	agmatine deiminase [EC:3.5.3.12]	K10536	COG2957	E
259348	554	590	65	235	258	21	905	DLM_0264	259068	260174	-	agmatine deiminase [EC:3.5.3.12]	K10536	COG2957	E
259514	1404	1372	98	571	731	61	2263	DLM_0264	259068	260174	-	agmatine deiminase [EC:3.5.3.12]	K10536	COG2957	E
259755	1663	1606	98	705	731	72	2447	DLM_0264	259068	260174	-	agmatine deiminase [EC:3.5.3.12]	K10536	COG2957	E
259795	957	910	66	291	312	18	1242	DLM_0264	259068	260174	-	agmatine deiminase [EC:3.5.3.12]	K10536	COG2957	E
259864	9	7	0	4	8	3	9	DLM_0264	259068	260174	-	agmatine deiminase [EC:3.5.3.12]	K10536	COG2957	E
260153	599	544	61	295	358	11	929	DLM_0264	259068	260174	-	agmatine deiminase [EC:3.5.3.12]	K10536	COG2957	E
260210	200	186	20	136	159	20	278								
260354	329	252	68	268	255	29	459	DLM_0265	260332	261285	+	NA	NA	lysR	K
260525	388	359	83	281	278	8	674	DLM_0265	260332	261285	+	NA	NA	lysR	K
260676	111	87	39	68	69	8	166	DLM_0265	260332	261285	+	NA	NA	lysR	K
260686	351	317	29	262	270	30	570	DLM_0265	260332	261285	+	NA	NA	lysR	K
260836	571	521	62	433	438	18	913	DLM_0265	260332	261285	+	NA	NA	lysR	K
261061	1371	1326	110	825	840	113	2030	DLM_0265	260332	261285	+	NA	NA	lysR	K
261063	447	443	18	334	276	25	767	DLM_0265	260332	261285	+	NA	NA	lysR	K
261142	234	207	20	138	130	6	279	DLM_0265	260332	261285	+	NA	NA	lysR	K
261283	302	307	44	182	231	11	505	DLM_0265	260332	261285	+	NA	NA	lysR	K
261369	355	316	26	256	261	10	420								
261385	6	4	0	3	3	1	2								
261453	216	190	20	38	27	2	349								
261463	84	94	7	50	45	1	115								
261466	1395	1317	96	564	549	137	1999								
261485	8	11	0	8	5	0	5	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
261529	30	32	8	7	10	2	45	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
261728	2587	2265	144	1175	1398	452	3418	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
261877	6	1	0	3	1	0	2	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
261916	52	43	0	20	20	6	64	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
261926	425	356	39	248	233	53	624	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
262064	649	573	43	336	328	67	989	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
262066	777	736	48	226	223	62	1000	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
262139	374	308	41	197	230	63	568	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
262337	2028	1840	145	962	1096	235	2941	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
262411	600	517	43	287	292	87	796	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
262745	641	576	85	301	279	142	963	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
263081	242	221	20	89	80	13	317	DLM_0266	261470	263176	+	amidase [EC:3.5.1.4]	K01426	gatA	J
263344	991	1029	65	801	654	16	1687	DLM_0267	263343	263546	-	kinesin family member 5	K10396/K07101	NA	NA
263386	3	5	0	9	2	0	2	DLM_0267	263343	263546	-	kinesin family member 5	K10396/K07101	NA	NA
263413	1536	1530	58	955	889	55	2441	DLM_0267	263343	263546	-	kinesin family member 5	K10396/K07101	NA	NA
263514	416	318	29	185	175	12	601	DLM_0267	263343	263546	-	kinesin family member 5	K10396/K07101	NA	NA
263562	136	118	11	85	90	3	230								
263594	214	191	4	212	171	10	433								
263599	15	10	0	9	14	0	39								
263614	982	1002	33	620	585	26	1599								
263766	754	715	20	495	558	15	1251								
263825	521	469	32	350	397	33	832								
263992	5	0	0	3	5	0	1	DLM_0268	263878	264243	-	NA	NA	COG1733	K
264039	1995	1867	107	769	865	26	2981	DLM_0268	263878	264243	-	NA	NA	COG1733	K
264083	807	813	15	447	424	38	1405	DLM_0268	263878	264243	-	NA	NA	COG1733	K
264124	8	9	3	5	3	0	16	DLM_0268	263878	264243	-	NA	NA	COG1733	K
264166	323	386	17	175	179	16	578	DLM_0268	263878	264243	-	NA	NA	COG1733	K
264300	1028	1071	38	637	577	62	1708								
264351	136	134	3	13	5	0	224								
264380	29	24	6	25	20	0	54								
264528	557	613	36	381	403	9	979								
264639	1082	1021	131	732	847	30	1727								
264661	163	155	5	109	107	8	270	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
264753	769	730	53	544	543	33	1316	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
264776	908	930	59	679	715	25	1522	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
264811	189	219	4	140	136	8	322	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
264903	1107	1021	68	607	706	56	1570	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
264910	766	750	55	527	551	40	1310	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265213	170	153	9	92	113	18	256	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265312	2	2	0	4	1	0	2	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265333	1231	1185	49	739	748	60	1966	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265355	1	5	0	2	0	0	4	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265523	1363	1368	50	887	855	56	2340	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265570	873	796	32	539	571	23	1173	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265685	718	752	49	449	382	3	1017	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265687	1725	1749	202	1294	1423	90	2983	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265706	566	511	56	409	429	11	926	DLM_0269	264653	265720	+	N-ethylmaleimide reductase [EC:1.-.-.-]	K10680	nemA	C
265753	367	322	34	187	171	2	454								
265909	561	584	23	347	394	15	944	DLM_0270	265837	266220	+	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607	COG1942	R
265932	154	147	19	125	136	0	275	DLM_0270	265837	266220	+	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607	COG1942	R
265993	430	395	31	303	332	10	667	DLM_0270	265837	266220	+	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607	COG1942	R
266005	249	262	11	212	214	9	426	DLM_0270	265837	266220	+	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607	COG1942	R
266092	780	924	95	646	706	69	1527	DLM_0270	265837	266220	+	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607	COG1942	R
266316	111	150	12	102	115	7	241								
266339	128	133	10	103	137	4	236	DLM_0271	266333	267340	+	NA	NA	tas	C
266488	168	148	3	137	154	5	295	DLM_0271	266333	267340	+	NA	NA	tas	C
266497	887	860	49	554	695	32	1292	DLM_0271	266333	267340	+	NA	NA	tas	C
266501	760	732	38	588	616	18	1265	DLM_0271	266333	267340	+	NA	NA	tas	C
266565	290	279	30	182	263	4	426	DLM_0271	266333	267340	+	NA	NA	tas	C
266696	330	328	27	234	258	11	541	DLM_0271	266333	267340	+	NA	NA	tas	C
266830	467	490	15	329	345	16	770	DLM_0271	266333	267340	+	NA	NA	tas	C
266993	1348	1296	58	600	628	18	1774	DLM_0271	266333	267340	+	NA	NA	tas	C
267202	921	871	72	514	600	22	1451	DLM_0271	266333	267340	+	NA	NA	tas	C
267298	1288	1226	47	714	869	52	1866	DLM_0271	266333	267340	+	NA	NA	tas	C
267357	237	293	8	105	129	7	341								
267382	122	162	1	79	116	4	222								
267618	295	238	11	180	203	13	526								
267855	987	960	32	569	617	30	1667	DLM_0273	267840	268406	+	NA	NA	NA	NA
268059	403	414	37	168	165	22	521	DLM_0273	267840	268406	+	NA	NA	NA	NA
268394	345	339	16	250	229	10	582	DLM_0273	267840	268406	+	NA	NA	NA	NA
268402	2	4	0	2	2	0	3	DLM_0273	267840	268406	+	NA	NA	NA	NA
268523	1	1	0	2	5	0	2	DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
268592	346	340	2	284	329	26	587	DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
268676	559	556	33	299	365	5	905	DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
268798	418	387	39	345	333	15	798	DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
268922	804	758	36	416	431	30	1176	DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
269243	950	904	90	649	720	26	1587	DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
269254	832	730	47	614	679	11	1213	DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
269309	1260	1356	71	608	577	30	1855	DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
269375	1459	1613	60	624	599	35	2352	DLM_0274	268517	269554	+	modulator of FtsH protease HflK	K04088	hflC	O
269559	846	751	4	306	281	11	1084	DLM_0275	269554	270432	+	modulator of FtsH protease HflC	K04087	hflC	O
269626	882	853	48	600	598	23	1595	DLM_0275	269554	270432	+	modulator of FtsH protease HflC	K04087	hflC	O
269740	894	830	62	530	566	5	1166	DLM_0275	269554	270432	+	modulator of FtsH protease HflC	K04087	hflC	O
270313	368	402	26	223	213	17	767	DLM_0275	269554	270432	+	modulator of FtsH protease HflC	K04087	hflC	O
270331	434	396	22	178	202	6	658	DLM_0275	269554	270432	+	modulator of FtsH protease HflC	K04087	hflC	O
270360	17	13	1	23	16	4	43	DLM_0275	269554	270432	+	modulator of FtsH protease HflC	K04087	hflC	O
270681	388	340	22	285	318	17	685	DLM_0276	270429	271691	+	NA	NA	mntH	P
270985	415	437	16	227	242	19	754	DLM_0276	270429	271691	+	NA	NA	mntH	P
271014	1258	1296	84	927	919	56	2379	DLM_0276	270429	271691	+	NA	NA	mntH	P
271071	840	837	48	442	501	27	1590	DLM_0276	270429	271691	+	NA	NA	mntH	P
271201	3	1	0	0	2	0	8	DLM_0276	270429	271691	+	NA	NA	mntH	P
271723	595	573	23	413	479	28	981								
272050	3230	3104	166	1577	1874	129	5923	DLM_0277	271725	272789	+	NA	NA	terC	P
272145	77	80	20	74	68	2	153	DLM_0277	271725	272789	+	NA	NA	terC	P
272187	611	621	48	441	526	25	1243	DLM_0277	271725	272789	+	NA	NA	terC	P
272315	149	124	6	94	124	8	237	DLM_0277	271725	272789	+	NA	NA	terC	P
272725	3	3	0	3	0	0	2	DLM_0277	271725	272789	+	NA	NA	terC	P
272774	348	317	21	272	303	14	668	DLM_0277	271725	272789	+	NA	NA	terC	P
272893	503	501	98	570	738	96	1081								
272916	597	519	52	507	553	30	1095								
272920	1235	1092	64	665	694	54	2117	DLM_0278	272917	274176	+	NA	NA	NA	NA
272926	234	202	29	210	200	14	447	DLM_0278	272917	274176	+	NA	NA	NA	NA
273139	134	162	17	93	109	8	271	DLM_0278	272917	274176	+	NA	NA	NA	NA
273141	750	741	36	374	408	18	1370	DLM_0278	272917	274176	+	NA	NA	NA	NA
273256	194	174	16	169	159	10	347	DLM_0278	272917	274176	+	NA	NA	NA	NA
273268	12	12	0	15	7	1	28	DLM_0278	272917	274176	+	NA	NA	NA	NA
273382	2237	2026	161	1581	1828	84	4043	DLM_0278	272917	274176	+	NA	NA	NA	NA
